Date,Start,Stop,What,Next,Blockers
13-May,2:45,4:15,Initial meeting,,
13-May,8:00,10:00, Starting List,,
15-May,6:00,8:00, Added more to list,,
16-May,6:00,8:00, Finishing list,,
17-May,5:00,7:00, Evaluating,,
18-May,6:00,8:00, finishing evaluating,,
19-May,2:30,3:45, 2nd meeting,,
20-May,4:30,6:30, updated list,,
22-May,12:00,4:00, updated list and shot some emails to gna! and launch pad.,,
23-May,8:00,10:00, updated list and shot some emails to Atom team and Source Forge,,
24-May, 9:00, 10:00, added rubygems.org and corresponded w/ Nick Quaranto,,
25-May, 6:45, 7:45, 3rd meeting ,,
29-May, 10:00, 12:00, Sorted Table and started Solutions document,,
30-May, 10:00, 12:00, Added to document - still needs work,,
01-June, 5:00, 7:00, Finished Existing guide section of solutions,,
03-June, 2:00, 3:30, 4th meeting,,
06-June, 5:10, 8:00, created solutions spreadsheet and filled in some data,,
14-June, 7:00, 8:15, 5th meeting,,
15-June, 7:00, 10:00, finished off forge section of solutions sheet and made short approaches for each solution to the stories,,
17-June, 7:00, 9:00, wrote supporting sheets for CMS,,
19-June, 7:00, 9:00, wrote supporting sheets for wiki + build from scratch,,
20-June, 4:00, 6:50, wrote supporting sheets for close but not quites and filled out solutions sheet,,
21-June, 7:00, 8:15, 6th meeting,,
24-June, 6:00, 9:00, read up on github api did some tutorials made a json retriever.,,
27-June, 7:00, 12:30, draft of meta data extractor - needs some more work,,
28-June, 7:00, 8:15, 7th meeting, working on harvester next (produce urls.json), no blockers
5-July, 9:00, 11:00, worked on config files and fixing my fork, working on urls.json program next, no blockers
21-July, 10:00, 12:30, created a prototype python script to check for a urls.md and if it exists pull it and create a json, fixing json creator next and determine how to request with etags, no blockers
23-July, 12:00, 1:30, fixed the json creator and script, having an issue stripping the n from the urls need to find a workaround for that, working on fixing the formatting of the json and the metadata writer
23-July, 1:00, 6:00, updated the urls.json creator and figured out pagination for metadata extractor (can create meta.json), figuring out ETag optimization is my only blocker, working on the full harvester and possibly the html generator next
26-JUly, 8:00, 9:00, 8th meeting, working on request cacher next, no blockers
30-July, 2:00, 7:00, fixed redundant methods in metadata extracator and fixed urls check bytestring issue, working on ETag optimization and dumping json to the subdirectories next, figuring out how to pass arguments from urls json to the main function of metadata_extractor
31-July, 8:00, 12:30, Harvester will not perform an ETag check prior to creating directories and meta.json, needs some optimization and work on generating html, no blockers
2-August, 7:00, 8:30, 9th meeting, working on documentation for harvester next, no blockers
4-August, 10:00, 12:00, researched some html generating python libraries and made a WIP harvester documentation, finalize documentation and generate html, no blockers
5-August, 10:00, 12:30, add python html generator scrpt and fixed formatting on harvester documentation, add css maybe bootstrap the html, no blockers
9-August, 7:00, 8:20, 10th meeting, working on refactoring code and formatting readme next, no blockers
11-August, 9:00, 12:00, cleaned up formatting and setup argument parsing from terminal, working on refactoring next, no blockers
18-August, 10:00, 1:00, fixed styling had a bug with cmd line args, working on css and readme next, no blockers 
18-August, 1:00, 1:45, 11th and official final meeting for harvester project, finishing touches next, no blockers
21-August, 10:00, 3:00, added base css to the html fixed more styling added example to readme, , 
